state_abbrev,state_name,state_fips,office,dist,year,votes_r,votes_d,votes_2p,d2pshare,incumbency,cand_r,inc_r,cand_d,inc_d,votes_o,votes_total,party_o,cand_o,inc_o,win_party,notes_cq,votes_extra,votes_plurality,lag_d2pshare,dpres
NM,NEW MEXICO,35,H,2,2014,95209,52499,147708,0.35542423,-1,"PEARCE, STEVE",Incumbent,"LARA, ROXANNE",Challenger,69,147777,WRITE-IN,"MCGRANN, JACK",Challenger,R,,,42710,0.40898722,46.48033126
NM,NEW MEXICO,35,H,2,2016,143515,85232,228747,0.3726038,-1,"PEARCE, STEVE",Incumbent,"SOULES, MERRIE LEE",Challenger,70,228817,WRITE-IN,"MCGRANN, JACK",Challenger,R,,,58283,0.35542423,44.33333333
NM,NEW MEXICO,35,H,2,2022,95636,96986,192622,0.50350428,-1,"HERRELL, YVETTE",Incumbent,"VASQUEZ, GABRIEL",Challenger,51,192673,WRITE-IN,"LUNA, ELISEO",Challenger,D,,,1350,0.46273634,52.95918367
NV,NEVADA,32,H,0,1954,42321,35318,77639,0.45490023,-1,"YOUNG, CLIFTON",Incumbent,"BARING, WALTER S.",Challenger,,77639,N/A,N/A,N/A,R,,,7003,0.49521682,38.59999847
NV,NEVADA,32,H,0,1974,61182,93665,154847,0.60488743,-1,"TOWELL, DAVID",Incumbent,"SANTINI, JAMES",Challenger,,167966,N/A,N/A,N/A,D,,13119,32483,0.47848853,36.31999969
NV,NEVADA,32,H,2,1984,99775,36130,135905,0.26584747,-1,"VUCANOVICH, BARBARA",Incumbent,"BARBANO, ANDREW",Challenger,,140106,N/A,N/A,N/A,R,,4201,63645,0.42681682,29.46999931
NV,NEVADA,32,H,2,1986,83479,59433,142912,0.41587129,-1,"VUCANOVICH, BARBARA",Incumbent,"SFERRAZZA, PETE",Challenger,,142912,N/A,N/A,N/A,R,,,24046,0.26584747,29.46999931
NV,NEVADA,32,H,2,1988,105981,75163,181144,0.41493508,-1,"VUCANOVICH, BARBARA",Incumbent,"SPOO, JAMES",Challenger,,185097,N/A,N/A,N/A,R,,3953,30818,0.41587129,36.09000015
NV,NEVADA,32,H,2,1990,103508,59581,163089,0.36532813,-1,"VUCANOVICH, BARBARA",Incumbent,"WISDOM, JANE",Challenger,,175209,N/A,N/A,N/A,R,,12120,43927,0.41493508,36.09000015
NV,NEVADA,32,H,2,1992,129575,117199,246774,0.47492442,-1,"VUCANOVICH, BARBARA",Incumbent,"SFERRAZZA, PETE",Challenger,,270461,N/A,N/A,N/A,R,,23687,12376,0.36532813,46.18999863
NV,NEVADA,32,H,2,1994,142202,65390,207592,0.31499287,-1,"VUCANOVICH, BARBARA",Incumbent,"GREESON, JANET",Challenger,,223932,N/A,N/A,N/A,R,,16340,76812,0.47492442,46.18999863
NV,NEVADA,32,H,1,1996,86472,75081,161553,0.46474531,-1,"ENSIGN, JOHN",Incumbent,"COFFIN, BOB",Challenger,,172593,N/A,N/A,N/A,R,,11040,11391,0.49508563,58.04000092
NV,NEVADA,32,H,2,1998,201623,,201623,,-1,"GIBBONS, JAMES A.",Incumbent,,N/A,,248763,N/A,N/A,N/A,R,,47140,201623,0.37585559,45.81999969
NV,NEVADA,32,H,2,2000,229608,106379,335987,0.31661642,-1,"GIBBONS, JAMES A.",Incumbent,"CAHILL, TIERNEY",Challenger,,355969,N/A,N/A,N/A,R,,19982,123229,,42.93999863
NV,NEVADA,32,H,2,2002,149574,40189,189763,0.21178523,-1,"GIBBONS, JAMES A.",Incumbent,"SOUZA, TRAVIS O.",Challenger,,201200,N/A,N/A,N/A,R,,11437,109385,0.31661642,39.45999908
NV,NEVADA,32,H,2,2004,195466,79978,275444,0.2903603,-1,"GIBBONS, JAMES A.",Incumbent,"COCHRAN, ANGIE G.",Challenger,10638,291079,INDEPENDENT AMERICAN,"HANSEN, JANINE",Challenger,R,"The other vote was: Trainor, Brendan J. (Libertarian) 4,997",4997,115488,0.21178523,41.72999954
NV,NEVADA,32,H,3,2004,162240,120365,282605,0.4259125,-1,"PORTER, JON",Incumbent,"GALLAGHER, TOM",Challenger,9260,297918,LIBERTARIAN,"SILVESTRI, JOSEPH",Challenger,R,"The other vote was: O'Dell, Richard Wayne (Independent American) 6,053",6053,41875,0.39906728,49.31999969
NV,NEVADA,32,H,3,2006,102232,98261,200493,0.4900969,-1,"PORTER, JON",Incumbent,"HAFEN, TESSA M.",Challenger,,210979,N/A,N/A,N/A,R,,10486,3971,0.4259125,49.29999924
NV,NEVADA,32,H,2,2008,170771,136548,307319,0.44432008,-1,"HELLER, DEAN",Incumbent,"DERBY, JILL",Challenger,,329520,N/A,N/A,N/A,R,,22201,34223,0.47164741,49
NV,NEVADA,32,H,3,2008,147940,165912,313852,0.52863133,-1,"PORTER, JON",Incumbent,"TITUS, DINA",Challenger,,349812,N/A,N/A,N/A,D,,35960,17972,0.4900969,55
NV,NEVADA,32,H,2,2010,169458,87421,256879,0.34031975,-1,"HELLER, DEAN",Incumbent,"PRICE, NANCY",Challenger,,267708,N/A,N/A,N/A,R,,10829,82037,0.44432008,49
NV,NEVADA,32,H,2,2012,162213,102019,264232,0.3860963,-1,"AMODEI, MARK",Incumbent,"KOEPNICK, SAMUEL",Challenger,11166,281449,INDEPENDENT,"HAINES, MICHAEL L.",Challenger,R,"The other vote was: Russell, Best (Independent American) 6,051",6051,60194,0.34031975,45.85465711
NV,NEVADA,32,H,3,2012,137244,116823,254067,0.45981178,-1,"HECK, JOE",Incumbent,"OCEGUERA, JOHN",Challenger,12856,272523,INDEPENDENT,"MURPHY, JIM",Challenger,R,"The other vote was: Jones, Tom (Independent American) 5,600",5600,20421,0.49658707,50.40733198
NV,NEVADA,32,H,2,2014,122402,52016,174418,0.29822609,-1,"AMODEI, MARK",Incumbent,"SPEES, KRISTEN",Challenger,11792,186210,INDEPENDENT AMERICAN,"HANSEN, JANINE",Challenger,R,,,70386,0.3860963,45.85465711
NV,NEVADA,32,H,3,2014,88528,52644,141172,0.3729068,-1,"HECK, JOE",Incumbent,"BILBRAY, ERIN",Challenger,1637,145719,INDEPENDENT,"GOOSSEN, DAVID",Challenger,R,"The other vote was: Kimmick, Randy (Libertarian) 1,566; St. John, Steven (Independent) 1,344",2910,35884,0.45981178,50.40733198
NV,NEVADA,32,H,2,2016,182676,115722,298398,0.38781092,-1,"AMODEI, MARK",Incumbent,"EVANS, H.D.",Challenger,8693,313336,INDEPENDENT AMERICAN,"EVERHART, JOHN H",Challenger,R,"The other vote was: Knight, Drew (Independent) 6,245",6245,66954,0.29822609,43.29334787
NV,NEVADA,32,H,4,2016,118328,128985,247313,0.52154559,-1,"HARDY, CRESENT",Incumbent,"KIHUEN, RUBEN",Challenger,10206,265846,LIBERTARIAN,"BROWN, STEVE",Challenger,D,"The other vote was: Little, Mike (Independent) 8,327",8327,10657,0.48531345,52.60361318
NV,NEVADA,32,H,2,2018,167435,120102,287537,0.41769233,-1,"AMODEI, MARK",Incumbent,"KOBLE, CLINT",Challenger,,287537,N/A,N/A,N/A,R,,,47333,0.38781092,43.29334787
NV,NEVADA,32,H,2,2020,216078,155780,371858,0.41892335,-1,"AMODEI, MARK",Incumbent,"ACKERMAN, PATRICIA GERALDENE",Challenger,10815,382673,INDEPENDENT AMERICAN,"HANSEN, JANINE",Challenger,R,,,60298,0.41769233,44.85596708
NV,NEVADA,32,H,2,2022,185467,117371,302838,0.38757026,-1,"AMODEI, MARK",Incumbent,"KRAUSE, ELIZABETH MERCEDES",Challenger,4194,310498,INDEPENDENT AMERICAN,"BEST, RUSSELL",Challenger,R,"The other vote was: Baber, Darryl (Libertarian) 3,466",3466,68096,0.41892335,44.34156379
NY,NEW YORK,36,H,39,1950,64377,31639,96016,0.32951799,-1,"COLE, W. STERLING",Incumbent,"O'CONNOR, DONALD J.",Challenger,,96016,N/A,N/A,N/A,R,,,32738,0.18447803,
NY,NEW YORK,36,H,17,1950,57247,44502,101749,0.43737039,-1,"COUDERT, FREDERIC R. JR.",Incumbent,"ENGEL, IRVING M.",Challenger,5492,107241,AMERICAN LABOR,"LEICESTER, ROBERT T.",Challenger,R,,,12745,0.64300537,
NY,NEW YORK,36,H,28,1950,79490,35059,114549,0.30606115,-1,"GAMBLE, RALPH A.",Incumbent,"LASKER, MORRIS E.",Challenger,,114549,N/A,N/A,N/A,R,,,44431,0.39502856,
NY,NEW YORK,36,H,27,1950,78221,59759,137980,0.433099,-1,"GWINN, RALPH W.",Incumbent,"BRENNER, GEORGE A.",Challenger,,137980,N/A,N/A,N/A,R,,,18462,0.63975906,
NY,NEW YORK,36,H,37,1950,60278,33018,93296,0.35390586,-1,"HALL, EDWIN ARTHUR",Incumbent,"BURNS, JOHN J.",Challenger,,93296,N/A,N/A,N/A,R,,,27260,0.71738535,
NY,NEW YORK,36,H,2,1950,129291,60152,189443,0.31752032,-1,"HALL, LEONARD W.",Incumbent,"MCKEOWN, LAWRENCE W.",Challenger,,189443,N/A,N/A,N/A,R,,,69139,0.44492346,
NY,NEW YORK,36,H,21,1950,62604,33349,95953,0.34755558,-1,"JAVITS, JACOB K.",Incumbent,"SCHLESSEL, BENNETT I.",Challenger,5419,101372,AMERICAN LABOR,"MANDEL, WILLIAM M.",Challenger,R,,,29255,0.55072457,
NY,NEW YORK,36,H,31,1950,79007,41680,120687,0.34535617,-1,"KEARNEY, BERNARD W.",Incumbent,"PETERSON, JOHN H.",Challenger,,120687,N/A,N/A,N/A,R,,,37327,0.32878593,
NY,NEW YORK,36,H,40,1950,103710,52363,156073,0.33550325,-1,"KEATING, KENNETH B.",Incumbent,"CLARKE, A. ROGER",Challenger,,156073,N/A,N/A,N/A,R,,,51347,0.5556615,
NY,NEW YORK,36,H,34,1950,67739,32446,100185,0.32386085,-1,"KILBURN, CLARENCE E.",Incumbent,"MCGILL, MILDRED",Challenger,,100185,N/A,N/A,N/A,R,,,35293,0.82363272,
NY,NEW YORK,36,H,3,1950,92466,55285,147751,0.37417683,-1,"LATHAM, HENRY J.",Incumbent,"PASTA, JAMES",Challenger,11122,158873,LIBERAL,"STARR, MARK",Challenger,R,,,37181,0.39274237,
NY,NEW YORK,36,H,1,1950,76240,76375,152615,0.50044227,-1,"MACY, W. KINGSLAND",Incumbent,"GREENWOOD, ERNEST",Challenger,,152615,N/A,N/A,N/A,D,,,135,,
NY,NEW YORK,36,H,45,1950,54490,27317,81807,0.33392009,-1,"REED, DANIEL A.",Incumbent,"BUCK, FREDERICK S.",Challenger,,81807,N/A,N/A,N/A,R,,,27173,,
NY,NEW YORK,36,H,36,1950,81508,50107,131615,0.38070887,-1,"RIEHLMAN, R. WALTER",Incumbent,"HAIGHT, ALFRED W.",Challenger,,131615,N/A,N/A,N/A,R,,,31401,0.25962859,
NY,NEW YORK,36,H,29,1950,72721,43315,116036,0.37328932,-1,"GEORGE, KATHARINE ST.",Incumbent,"PRINCE, HARRY O.",Challenger,,116036,N/A,N/A,N/A,R,,,29406,0.64920902,
NY,NEW YORK,36,H,38,1950,68474,31115,99589,0.31243411,-1,"TABER, JOHN",Incumbent,"GORDON, ROBERT G.",Challenger,,99589,N/A,N/A,N/A,R,,,37359,0.85141319,
NY,NEW YORK,36,H,33,1950,100425,42680,143105,0.29824254,-1,"TAYLOR, DEAN P.",Incumbent,"HAMMER, JOSEPH T.",Challenger,,143105,N/A,N/A,N/A,R,,,57745,0.6364457,
NY,NEW YORK,36,H,37,1952,131172,57474,188646,0.30466589,-1,"COLE, W. STERLING",Incumbent,"IVORY, JEAN",Challenger,,188646,N/A,N/A,N/A,R,,,73698,0.35390586,28.10000038
NY,NEW YORK,36,H,17,1952,84821,60624,145445,0.41681737,-1,"COUDERT, FREDERIC R. JR.",Incumbent,"GROSSMAN, HARRY",Challenger,,145445,N/A,N/A,N/A,R,,,24197,0.43737039,42.40000153
NY,NEW YORK,36,H,26,1952,116091,55184,171275,0.32219529,-1,"GAMBLE, RALPH A.",Incumbent,"CHUDSON, FLORA",Challenger,,171275,N/A,N/A,N/A,R,,,60907,0.60792965,32.40000153
NY,NEW YORK,36,H,27,1952,108575,75781,184356,0.41105795,-1,"GWINN, RALPH W.",Incumbent,"BRENNER, GEORGE A.",Challenger,,184356,N/A,N/A,N/A,R,,,32794,0.433099,32.70000076
NY,NEW YORK,36,H,21,1952,89866,47637,137503,0.34644336,-1,"JAVITS, JACOB K.",Incumbent,"HART, JOHN C.",Challenger,,137503,N/A,N/A,N/A,R,,,42229,0.34755558,63
NY,NEW YORK,36,H,32,1952,111025,50307,111025,0.31182283,-1,"KEARNEY, BERNARD W.",Incumbent,"PRINCE, DAVID C.",N/A,,111025,N/A,N/A,N/A,R,,,111025,0.6007694,32.20000076
NY,NEW YORK,36,H,38,1952,128566,56177,184743,0.30408189,-1,"KEATING, KENNETH B.",Incumbent,"KRUPPENBACHER, VICTOR",Challenger,,184743,N/A,N/A,N/A,R,,,72389,0.31243411,39.20000076
NY,NEW YORK,36,H,33,1952,98653,41803,140456,0.29762346,-1,"KILBURN, CLARENCE E.",Incumbent,"MCGRATH, MAURICE N.",Challenger,,140456,N/A,N/A,N/A,R,,,56850,0.29824254,30.79999924
NY,NEW YORK,36,H,4,1952,123132,70755,193887,0.36492905,-1,"LATHAM, HENRY J.",Incumbent,"PERRINI, JOSEPH J.",Challenger,,193887,N/A,N/A,N/A,R,,,52377,0.56443226,37
NY,NEW YORK,36,H,40,1952,102565,69087,171652,0.40248293,-1,"MILLER, WILLIAM E.",Incumbent,"LACKEY, E. DENT",Challenger,,171652,N/A,N/A,N/A,R,,,33478,0.33550325,40.79999924
NY,NEW YORK,36,H,39,1952,107501,55483,162984,0.34041992,-1,"OSTERTAG, HAROLD C.",Incumbent,"JUDSON, O. RICHARD",Challenger,,162984,N/A,N/A,N/A,R,,,52018,0.32951799,35.40000153
NY,NEW YORK,36,H,41,1952,95755,75552,171307,0.44103277,-1,"RADWAN, EDMUND P.",Incumbent,"TAURIELLO, ANTHONY F.",Challenger,,171307,N/A,N/A,N/A,R,,,20203,0.35309622,45.20000076
NY,NEW YORK,36,H,43,1952,91534,44276,135810,0.32601428,-1,"REED, DANIEL A.",Incumbent,"JOHNSON, HARRY D.",Challenger,,135810,N/A,N/A,N/A,R,,,47258,0.48562127,31.39999962
NY,NEW YORK,36,H,35,1952,113778,65763,179541,0.36628401,-1,"RIEHLMAN, R. WALTER",Incumbent,"MCGUIRE, ARTHUR B.",Challenger,,179541,N/A,N/A,N/A,R,,,48015,0.47227708,35
NY,NEW YORK,36,H,6,1952,104720,105261,209981,0.50128824,-1,"ROSS, ROBERT TRIPP",Incumbent,"HOLTZMAN, LESTER",Challenger,,209981,N/A,N/A,N/A,D,,,541,0.59336525,48.90000153
NY,NEW YORK,36,H,28,1952,102476,52994,155470,0.3408632,-1,"GEORGE, KATHARINE ST.",Incumbent,"SANDERS, MARION K.",Challenger,,155470,N/A,N/A,N/A,R,,,49482,0.30606115,30.39999962
NY,NEW YORK,36,H,36,1952,110304,47189,157493,0.29962602,-1,"TABER, JOHN",Incumbent,"O'CONNOR, DONALD J.",Challenger,,157493,N/A,N/A,N/A,R,,,63115,0.38070887,26.60000038
NY,NEW YORK,36,H,31,1952,114656,44367,159023,0.27899739,-1,"TAYLOR, DEAN P.",Incumbent,"NEIL, HELEN NOLAN",Challenger,,159023,N/A,N/A,N/A,R,,,70289,0.34535617,27.70000076
NY,NEW YORK,36,H,29,1952,115502,46727,162229,0.28803113,-1,"WHARTON, J. ERNEST",Incumbent,"DONNARUMA, WALTER",Challenger,,162229,N/A,N/A,N/A,R,,,68775,0.37328932,28.60000038
NY,NEW YORK,36,H,34,1952,97488,65080,162568,0.40032479,-1,"WILLIAMS, WILLIAM R.",Incumbent,"WILSON, CHARLES RAY",Challenger,,162568,N/A,N/A,N/A,R,,,32408,0.32386085,36.29999924
NY,NEW YORK,36,H,3,1954,93396,66703,160099,0.41663596,-1,"BECKER, FRANK J.",Incumbent,"COGLEY, JOHN T.",Challenger,,160099,N/A,N/A,N/A,R,,,26693,0.32202196,31.70000076
NY,NEW YORK,36,H,5,1954,50778,43086,93864,0.45902583,-1,"BOSCH, ALBERT H.",Incumbent,"KERWICK, WILLIAM",Challenger,,93864,N/A,N/A,N/A,R,,,7692,0.45891705,38.70000076
NY,NEW YORK,36,H,37,1954,94840,37525,132365,0.28349638,-1,"COLE, W. STERLING",Incumbent,"BLOOMER, JOHN E.",Challenger,,132365,N/A,N/A,N/A,R,,,57315,0.30466589,28.10000038
NY,NEW YORK,36,H,17,1954,48999,48685,97684,0.49839279,-1,"COUDERT, FREDERIC R. JR.",Incumbent,"AKERS, ANTHONY B.",Challenger,,97684,N/A,N/A,N/A,R,,,314,0.41681737,42.40000153
NY,NEW YORK,36,H,2,1954,98610,55477,154087,0.36003685,-1,"DEROUNIAN, STEVEN B.",Incumbent,"BRENNAN, WILLIAM R. JR.",Challenger,,154087,N/A,N/A,N/A,R,,,43133,0.29227662,28.89999962
NY,NEW YORK,36,H,12,1954,49449,46926,96375,0.48691049,-1,"DORN, FRANCIS E.",Incumbent,"O'TOOLE, DONALD L.",Challenger,,96375,N/A,N/A,N/A,R,,,2523,0.46381009,45.20000076
NY,NEW YORK,36,H,25,1954,59409,50818,110227,0.46103042,-1,"FINO, PAUL A.",Incumbent,"MILANO, SALVATORE J.",Challenger,7624,117851,LIBERAL,"DOERFLER, ERNEST",Challenger,R,,,8591,0.44666278,42.5
NY,NEW YORK,36,H,26,1954,81608,45892,127500,0.35993725,-1,"GAMBLE, RALPH A.",Incumbent,"CREWS, JULIA L.",Challenger,,127500,N/A,N/A,N/A,R,,,35716,0.32219529,32.40000153
NY,NEW YORK,36,H,27,1954,83866,62797,146663,0.42817208,-1,"GWINN, RALPH W.",Incumbent,"HAROLD, JOHN R.",Challenger,,146663,N/A,N/A,N/A,R,,,21069,0.41105795,32.70000076
NY,NEW YORK,36,H,32,1954,77891,48808,126699,0.38522798,-1,"KEARNEY, BERNARD W.",Incumbent,"PRINCE, DAVID C.",Challenger,,126699,N/A,N/A,N/A,R,,,29083,,32.20000076
NY,NEW YORK,36,H,38,1954,103293,40400,143693,0.28115496,-1,"KEATING, KENNETH B.",Incumbent,"BRODSKY, RUBIN",Challenger,,143693,N/A,N/A,N/A,R,,,62893,0.30408189,39.20000076
NY,NEW YORK,36,H,33,1954,70708,31279,101987,0.30669594,-1,"KILBURN, CLARENCE E.",Incumbent,"BLAKE, HAROLD",Challenger,,101987,N/A,N/A,N/A,R,,,39429,0.29762346,30.79999924
NY,NEW YORK,36,H,4,1954,74621,55479,130100,0.4264335,-1,"LATHAM, HENRY J.",Incumbent,"DENT, THOMAS A.",Challenger,7526,137626,LIBERAL,"ROSE, ROBERT A.",Challenger,R,,,19142,0.36492905,37
NY,NEW YORK,36,H,40,1954,77016,46956,123972,0.37876296,-1,"MILLER, WILLIAM E.",Incumbent,"LUCCA, MARIANO A.",Challenger,,123972,N/A,N/A,N/A,R,,,30060,0.40248293,40.79999924
NY,NEW YORK,36,H,39,1954,82769,45000,127769,0.35219809,-1,"OSTERTAG, HAROLD C.",Incumbent,"COOKE, GEORGE W.",Challenger,,127769,N/A,N/A,N/A,R,,,37769,0.34041992,35.40000153
NY,NEW YORK,36,H,42,1954,82707,60880,143587,0.42399383,-1,"PILLION, JOHN R.",Incumbent,"ZABLOTNY, JOHN J.",Challenger,,143587,N/A,N/A,N/A,R,,,21827,0.44705591,43.20000076
NY,NEW YORK,36,H,41,1954,77259,45144,122403,0.3688145,-1,"RADWAN, EDMUND P.",Incumbent,"WOJTKOWIAK, BERNARD J.",Challenger,,122403,N/A,N/A,N/A,R,,,32115,0.44103277,45.20000076
NY,NEW YORK,36,H,15,1954,56020,52292,108312,0.48279047,-1,"RAY, JOHN H.",Incumbent,"FITZPATRICK, VINCENT R.",Challenger,,108312,N/A,N/A,N/A,R,,,3728,0.41749269,32.5
NY,NEW YORK,36,H,43,1954,66852,34590,101442,0.34098303,-1,"REED, DANIEL A.",Incumbent,"CROWLEY, JAMES F.",Challenger,,101442,N/A,N/A,N/A,R,,,32262,0.32601428,31.39999962
NY,NEW YORK,36,H,35,1954,90002,51358,141360,0.36331353,-1,"RIEHLMAN, R. WALTER",Incumbent,"O'CONNOR, JAMES H.",Challenger,,141360,N/A,N/A,N/A,R,,,38644,0.36628401,35
NY,NEW YORK,36,H,28,1954,79587,40109,119696,0.33509058,-1,"GEORGE, KATHARINE ST.",Incumbent,"REILLY, PAUL G.",Challenger,,119696,N/A,N/A,N/A,R,,,39478,0.3408632,30.39999962
NY,NEW YORK,36,H,36,1954,79850,36910,116760,0.31611854,-1,"TABER, JOHN",Incumbent,"CAREY, DANIEL J.",Challenger,,116760,N/A,N/A,N/A,R,,,42940,0.29962602,26.60000038
NY,NEW YORK,36,H,31,1954,86768,44212,130980,0.33754772,-1,"TAYLOR, DEAN P.",Incumbent,"MACLAREN, JOSEPH R.",Challenger,,130980,N/A,N/A,N/A,R,,,42556,0.27899739,27.70000076
NY,NEW YORK,36,H,1,1954,108130,62853,170983,0.36759794,-1,"WAINWRIGHT, STUYVESANT",Incumbent,"GREENWOOD, ERNEST",Challenger,,170983,N/A,N/A,N/A,R,,,45277,0.39389515,25.70000076
NY,NEW YORK,36,H,29,1954,88227,42084,130311,0.32295048,-1,"WHARTON, J. ERNEST",Incumbent,"BYRON, ROBERT D.",Challenger,,130311,N/A,N/A,N/A,R,,,46143,0.28803113,28.60000038
NY,NEW YORK,36,H,34,1954,77659,53112,130771,0.4061451,-1,"WILLIAMS, WILLIAM R.",Incumbent,"OLIN, VERNON E.",Challenger,,130771,N/A,N/A,N/A,R,,,24547,0.40032479,36.29999924
NY,NEW YORK,36,H,3,1956,143559,88245,231804,0.38068798,-1,"BECKER, FRANK J.",Incumbent,"HARDIMAN, FRANCIS X.",Challenger,,231804,N/A,N/A,N/A,R,,,55314,0.41663596,32.06000137
NY,NEW YORK,36,H,5,1956,87154,61678,148832,0.41441357,-1,"BOSCH, ALBERT H.",Incumbent,"QUINN, JOHN J.",Challenger,,148832,N/A,N/A,N/A,R,,,25476,0.45902583,28.89999962
NY,NEW YORK,36,H,37,1956,136044,53830,189874,0.2835038,-1,"COLE, THOMAS J.",Incumbent,"HOGAN, FRANCIS P.",Challenger,,189874,N/A,N/A,N/A,R,,,82214,0.28349638,23.81999969
NY,NEW YORK,36,H,17,1956,68874,66396,135270,0.49084055,-1,"COUDERT, FREDERIC R. JR.",Incumbent,"AKERS, ANTHONY B.",Challenger,,135270,N/A,N/A,N/A,R,,,2478,0.49839279,37.63999939
NY,NEW YORK,36,H,2,1956,148098,71422,219520,0.32535532,-1,"DEROUNIAN, STEVEN B.",Incumbent,"DAMATO, JULIUS J.",Challenger,,219520,N/A,N/A,N/A,R,,,76676,0.36003685,26.14999962
NY,NEW YORK,36,H,18,1956,34748,47953,82701,0.57983577,-1,"DONOVAN, JAMES G.",Incumbent,"SANTANGELO, ALFRED E.",Challenger,,82701,N/A,N/A,N/A,D,,,13205,1,46.06999969
NY,NEW YORK,36,H,12,1956,76137,56035,132172,0.42395514,-1,"DORN, FRANCIS E.",Incumbent,"O'TOOLE, DONALD L.",Challenger,,132172,N/A,N/A,N/A,R,,,20102,0.48691049,33.81000137
NY,NEW YORK,36,H,25,1956,104771,62729,167500,0.3745015,-1,"FINO, PAUL A.",Incumbent,"CUNNINGHAM, EDWARD A.",Challenger,8989,176489,LIBERAL,"TOBACMAN, BERNARD",Challenger,R,,,42042,0.46103042,33.95999908
NY,NEW YORK,36,H,27,1956,117100,84568,201668,0.4193427,-1,"GWINN, RALPH W.",Incumbent,"CARLEBACH, WILLIAM D.",Challenger,,201668,N/A,N/A,N/A,R,,,32532,0.42817208,25.69000053
NY,NEW YORK,36,H,32,1956,107959,52064,160023,0.32535324,-1,"KEARNEY, BERNARD W.",Incumbent,"GIBLIN, R. JOSEPH",Challenger,,160023,N/A,N/A,N/A,R,,,55895,0.38522798,25.95000076
NY,NEW YORK,36,H,38,1956,135572,53477,189049,0.28287375,-1,"KEATING, KENNETH B.",Incumbent,"HARDING, REED",Challenger,,189049,N/A,N/A,N/A,R,,,82095,0.28115496,31.18000031
NY,NEW YORK,36,H,33,1956,103419,38793,142212,0.27278289,-1,"KILBURN, CLARENCE E.",Incumbent,"BRITTON, LOUIS C.",Challenger,,142212,N/A,N/A,N/A,R,,,64626,0.30669594,24.37000084
NY,NEW YORK,36,H,4,1956,116470,92217,208687,0.44189143,-1,"LATHAM, HENRY J.",Incumbent,"PERRINI, JOSEPH J.",Challenger,,208687,N/A,N/A,N/A,R,,,24253,0.4264335,35.38000107
NY,NEW YORK,36,H,40,1956,117051,64872,181923,0.35659042,-1,"MILLER, WILLIAM E.",Incumbent,"HILLS, A. THORNE",Challenger,,181923,N/A,N/A,N/A,R,,,52179,0.37876296,32.59999847
NY,NEW YORK,36,H,39,1956,116043,48634,164677,0.29532966,-1,"OSTERTAG, HAROLD C.",Incumbent,"MOSTYN, WILLIAM H.",Challenger,,164677,N/A,N/A,N/A,R,,,67409,0.35219809,28.18000031
NY,NEW YORK,36,H,42,1956,117178,80568,197746,0.40743175,-1,"PILLION, JOHN R.",Incumbent,"KANE, JAMES JR.",Challenger,,197746,N/A,N/A,N/A,R,,,36610,0.42399383,34.40999985
NY,NEW YORK,36,H,41,1956,99151,54776,153927,0.35585698,-1,"RADWAN, EDMUND P.",Incumbent,"JEHLE, EDWARD P.",Challenger,,153927,N/A,N/A,N/A,R,,,44375,0.3688145,37.93999863
NY,NEW YORK,36,H,15,1956,98093,60989,159082,0.38338089,-1,"RAY, JOHN H.",Incumbent,"IORIO, RALPH DI",Challenger,,159082,N/A,N/A,N/A,R,,,37104,0.48279047,20.60000038
NY,NEW YORK,36,H,43,1956,93079,42476,135555,0.31334883,-1,"REED, DANIEL A.",Incumbent,"LYNCH, T. JOSEPH",Challenger,,135555,N/A,N/A,N/A,R,,,50603,0.34098303,26.51000023
NY,NEW YORK,36,H,35,1956,124108,59534,183642,0.3241851,-1,"RIEHLMAN, R. WALTER",Incumbent,"LOWERY, THOMAS J.",Challenger,,183642,N/A,N/A,N/A,R,,,64574,0.36331353,25.98999977
NY,NEW YORK,36,H,28,1956,103114,62770,165884,0.37839696,-1,"GEORGE, KATHARINE ST.",Incumbent,"MAULDIN, WILLIAM H.",Challenger,,165884,N/A,N/A,N/A,R,,,40344,0.33509058,24.40999985
NY,NEW YORK,36,H,36,1956,109101,47764,156865,0.30449113,-1,"TABER, JOHN",Incumbent,"BELL, LEWIS S.",Challenger,,156865,N/A,N/A,N/A,R,,,61337,0.31611854,22.55999947
NY,NEW YORK,36,H,31,1956,116682,45767,162449,0.28173149,-1,"TAYLOR, DEAN P.",Incumbent,"KNAPP, THEODORE A.",Challenger,,162449,N/A,N/A,N/A,R,,,70915,0.33754772,22.48999977
NY,NEW YORK,36,H,1,1956,191356,99304,290660,0.34165004,-1,"WAINWRIGHT, STUYVESANT",Incumbent,"O'REILLY, T. BRONSON",Challenger,,290660,N/A,N/A,N/A,R,,,92052,0.36759794,23.89999962
NY,NEW YORK,36,H,29,1956,124211,49725,173936,0.28588101,-1,"WHARTON, J. ERNEST",Incumbent,"GENNARO, VINCENT DI",Challenger,,173936,N/A,N/A,N/A,R,,,74486,0.32295048,21.37000084
NY,NEW YORK,36,H,34,1956,95681,70837,166518,0.42540145,-1,"WILLIAMS, WILLIAM R.",Incumbent,"SLUSARCZYK, EDWIN L.",Challenger,,166518,N/A,N/A,N/A,R,,,24844,0.4061451,27.60000038
NY,NEW YORK,36,H,3,1958,109245,91514,200759,0.45584008,-1,"BECKER, FRANK J.",Incumbent,"LARSON, A. WILLIAM",Challenger,,200759,N/A,N/A,N/A,R,,,17731,0.38068798,32.06000137
